zip_code,lat,long,population
27544,36.1997299194336,-78.4465560913086,4449
27545,35.7837181091309,-78.4782409667969,23006
27546,35.3853187561035,-78.8621063232422,19471
27549,36.1016616821289,-78.2322311401367,24112
27551,36.4328422546387,-78.0501708984375,1962
27553,36.486499786377,-78.3027954101562,2937
27555,35.5626831054688,-78.2041320800781,441
27556,36.408317565918,-78.3148345947266,346
27557,35.7791366577148,-78.1985092163086,7509
27559,35.6282119750977,-79.1028213500977,2288
27560,35.8578910827637,-78.8276977539062,22623
27562,35.6404304504395,-78.9900207519531,1938
27563,36.4157104492188,-78.2293853759766,5008
27565,36.3616523742676,-78.6489486694336,25255
27568,35.510124206543,-78.2451019287109,480
27569,35.4290657043457,-78.182746887207,8022
27571,35.919490814209,-78.4580383300781,3893
27572,36.2551078796387,-78.8774948120117,6546
27573,36.396598815918,-78.9760971069336,11414
27574,36.4783592224121,-78.8649139404297,14373
27576,35.577522277832,-78.2613143920898,17091
27577,35.4896392822266,-78.332893371582,22911
27581,36.1996078491211,-78.7289886474609,3049
27582,36.4673233032227,-78.5765914916992,289
27583,36.2929573059082,-78.9353637695312,6921
27587,35.9813804626465,-78.5575866699219,53078
27589,36.3225402832031,-78.1334838867188,8370
27591,35.7841682434082,-78.3889846801758,19589
27592,35.5573806762695,-78.6722717285156,15244
27596,35.9999008178711,-78.4350891113281,15619
27597,35.8410148620605,-78.3026809692383,22181
27601,35.7736320495605,-78.6344604492188,9450
27603,35.6644172668457,-78.6527481079102,47033
27604,35.8227882385254,-78.5616455078125,42204
27605,35.7906112670898,-78.6545944213867,4495
27606,35.7423248291016,-78.7154769897461,43210
27607,35.8131065368652,-78.7211761474609,25188
27608,35.8090476989746,-78.6472244262695,10429
27609,35.8437652587891,-78.6336441040039,32964
27610,35.7444000244141,-78.5462799072266,65648
27612,35.8557548522949,-78.7070388793945,35028
27613,35.9261016845703,-78.7114105224609,42690
27614,35.945930480957,-78.6194915771484,31516
27615,35.8984985351562,-78.6354827880859,42166
27616,35.8665161132812,-78.5413055419922,42294
27617,35.9078750610352,-78.7729568481445,15199
27701,35.9992408752441,-78.8979415893555,21288
27703,35.9592514038086,-78.8068237304688,41937
27704,36.0424461364746,-78.8287734985352,34517
27705,36.0221366882324,-78.9756622314453,46282
27707,35.9545249938965,-78.9533157348633,45023
27709,35.9243927001953,-78.832763671875,1047
27712,36.0954742431641,-78.9040832519531,20035
27713,35.8950386047363,-78.9237442016602,46660
27801,35.913444519043,-77.725700378418,21740
27803,35.9030494689941,-77.8561706542969,21227
27804,35.9891700744629,-77.8427124023438,29058
27805,36.2077484130859,-77.0842666625977,3992
27806,35.3050003051758,-76.7560653686523,2331
27807,35.804515838623,-78.0955352783203,6629
27808,35.4670906066895,-76.7597503662109,2225
27809,36.0167770385742,-77.7416229248047,5091
27810,35.531810760498,-76.5253982543945,4377
27812,35.8156089782715,-77.369255065918,2593
27813,35.6347007751465,-77.9377136230469,747
27814,35.3986625671387,-76.9188079833984,1676
27816,36.1002883911133,-78.0643692016602,2516
27817,35.4479827880859,-77.0719985961914,7358
